lang	cond_entropy	cond_entropy_std
de	8.990016970393594	0.017838228286832365
en	8.623897370081332	0.016973690429812224
fr	8.670096470852721	0.011926689118154971
it	8.703643145843465	0.019055352607092426
ja	7.8195666220586	0.015009931686655126
sv	8.798370387777123	0.025907979461887984
th	8.141409564903517	0.017334708422061838
vi	8.661441503888168	0.023776005273897494
zh	9.533799565814345	0.014396254249206623
yue	7.626957495643592	0.02174079802521237
zh-by-char	8.180550184215704	0.023877807609832213
yue-by-char	7.597805836382418	0.011214070567803153
