lang	cond_entropy	cond_entropy_std
de	8.895373454789175	0.01357629152270178
en	8.533827144094163	0.014498513535940373
fr	8.601000012202396	0.03693611820634715
it	8.631194617775856	0.014202258903800202
ja	7.723369193312823	0.025902422383701933
sv	8.734504753308515	0.0253543749522995
th	7.972777680122976	0.026269009304041028
vi	8.509649376763454	0.017794272111091303
zh	9.435341838505803	0.01087801014090845
yue	7.56232144975552	0.020078670829660916
zh-by-char	8.024967861453472	0.02613185293989086
yue-by-char	7.500062628521981	0.02105764168890025
