lang	cond_entropy	cond_entropy_std
de	9.066197153073976	0.02484780724769088
en	8.695248787932037	0.02449778224806591
fr	8.721548163588963	0.050242697888969436
it	8.767812554555714	0.03411814205314619
ja	7.912268420168462	0.025275882577524136
sv	8.872004759043078	0.026450640213722853
th	8.240856186800677	0.018509371622374756
vi	8.832134538495986	0.025586250756777052
zh	9.643219785798584	0.019533518017726483
yue	7.707142254795852	0.020779161575356926
zh-by-char	8.40994816927969	0.018071077712917757
yue-by-char	7.776195784901256	0.016697040404051327
