lang	cond_entropy	cond_entropy_std
de	9.036462691869717	0.024157749772971655
en	8.651232780776004	0.020042000388754415
fr	8.726313347510615	0.02966778389507118
it	8.727344673567146	0.027242035754208582
ja	7.86210439599238	0.015162853971285433
sv	8.837612454625134	0.010404586655317884
th	8.182457913507239	0.01916892275307743
vi	8.762058784901676	0.022480479500782538
zh	9.595185981666026	0.019326845193295496
yue	7.693774812197264	0.02452902554026741
zh-by-char	8.293263392506468	0.017177271931492055
yue-by-char	7.689280596258672	0.022036537897626773
