lang	diff_entropy	cond_entropy	mutual_info	diff_entropy_std	cond_entropy_std	mutual_info_std
de	8.441553512454737	7.325864163973987	1.11568934848075	0.017367628244932636	0.03645855489857769	0.04234299071350075
en	7.73898375584258	6.817772504587306	0.921211251255273	0.020779183257777032	0.05423408722936414	0.054808953467641676
fr	7.608090511381666	6.676142466694257	0.9319480446874071	0.016936457386888613	0.08208256778115298	0.08208807504064775
it	7.376511254860745	6.659388163749608	0.7171230911111358	0.030660717484519217	0.05379583335414781	0.05357556177091462
ja	7.627608854160931	6.750600409741665	0.8770084444192665	0.018985759209968776	0.040506810219895224	0.04154891702866456
sr	7.744321249752501	6.884533736263501	0.8597875134890014	0.0356573553348455	0.046407577253366694	0.05311254786390561
sv	8.24717107545647	7.337809589252603	0.909361486203867	0.020146778748469804	0.057158472386427406	0.06091566856268419
th	8.686338316717315	7.328306948797504	1.35803136791981	0.010625859053156798	0.041537305945258236	0.04128642303635903
vi	9.352186754968404	8.07969723865656	1.2724895163118446	0.03054145658894502	0.0543750457121596	0.07234761474914456
zh	8.719013434988181	7.737158100768968	0.9818553342192125	0.030251911128282634	0.07384973964506873	0.08287559638386507
yue	8.441520208765882	7.587239781676269	0.854280427089612	0.020694580637795976	0.03290801678529836	0.03826134543619058
zh-by-char	9.080306671381202	7.723235924139843	1.35707074724136	0.011899363645833458	0.0255964057937801	0.03395694915331168
yue-by-char	8.50218270041773	7.233561780453091	1.2686209199646403	0.011667559282394041	0.03658913838942658	0.0445054012572589
