lang	diff_entropy	cond_entropy	mutual_info	diff_entropy_std	cond_entropy_std	mutual_info_std
de	8.579718451289455	7.358171001913107	1.2215474493763485	0.009144933085070826	0.04800434252672612	0.0509407412647205
en	7.974789534968046	6.942036600808652	1.0327529341593944	0.019168256808661657	0.04283564382474723	0.05024159505092133
fr	7.769915636217235	6.761491788842173	1.0084238473750613	0.01912170594020347	0.05366628258104299	0.056151316762391
it	7.6415244801190525	6.781169257986093	0.8603552221329573	0.02492918093254631	0.030848810915299257	0.046322474937182306
ja	7.92524230240731	6.8453029708522966	1.0799393315550132	0.01721985430657666	0.026210265332530378	0.03419361340571877
kor	8.130279015157003	7.376072587821433	0.7542064273355703	0.1702967427924694	0.46324351921606133	0.5405185639770776
sr	7.705162742853903	6.913859860882324	0.7913028819715804	0.036129885228081124	0.0341316013348853	0.046564950324780335
sv	8.494536115836684	7.424502427662327	1.070033688174355	0.017726236754717815	0.0430327128036334	0.04789612521913056
th	8.809828788854087	7.3472494086379765	1.4625793802161118	0.013650462860120878	0.04176207110773715	0.04749802228894807
vi	9.506416180115	8.087441144265586	1.4189750358494124	0.016697940010726456	0.0486695115595028	0.0415833333579003
zh	9.005312160522516	7.779332343759224	1.225979816763293	0.018103028104982412	0.044387035437463626	0.048518770727032645
yue	8.491169683793478	7.524187925120964	0.9669817586725145	0.019297146940089	0.053593086631606966	0.05028742431133217
zh-by-char	9.188269535577037	7.696766291262577	1.4915032443144585	0.007977037055382954	0.0489738115282226	0.05114472416669394
yue-by-char	8.588258782870337	7.2643099381258285	1.3239488447445105	0.012609072734695363	0.03155261936238882	0.023180625943789446
