lang	diff_entropy	cond_entropy	mutual_info	diff_entropy_std	cond_entropy_std	mutual_info_std
de	8.461625803265035	7.37182714973779	1.0897986535272448	0.015386774656345527	0.07995263277790506	0.07923934407750234
en	7.784554606572573	6.863022084566573	0.9215325220059978	0.01617558603294597	0.04871704607729287	0.05323284026072631
fr	7.688525790168873	6.746037126845292	0.9424886633235818	0.027146036852046262	0.05064621741823117	0.05696067277393333
it	7.46730916757348	6.698729388668286	0.7685797789051921	0.0236482558897871	0.060452103127046866	0.06872850516896202
ja	7.7411733610965445	6.796378616449644	0.944794744646899	0.01216889351271983	0.029395134503653	0.03216465160624267
sr	7.717206016313713	6.9173796977305715	0.7998263185831417	0.032902426220059254	0.05526923594309414	0.07263596638570087
sv	8.29504264659236	7.327923065959505	0.9671195806328567	0.02480547395505591	0.0548762133195233	0.06620627310479442
th	8.72149790847837	7.34894627391724	1.3725516345611326	0.019883510127402405	0.043476254016895144	0.050321600841252194
vi	9.405423152468035	8.085930132218712	1.3194930202493225	0.011822804923067375	0.045485736468463475	0.04606460499267451
zh	8.848388584485331	7.775677003979669	1.0727115805056626	0.02285643065262608	0.047962873328957926	0.05962854842981655
yue	8.45560148908135	7.546368075646851	0.9092334134344983	0.022172708237209616	0.0309536171859068	0.0345957981267406
zh-by-char	9.135329352403401	7.720767231921288	1.414562120482114	0.01160053222372152	0.038705113226663306	0.041366917509131886
yue-by-char	8.535361294074004	7.25074951454737	1.2846117795266345	0.011562800322230907	0.03220574112640818	0.034018815646444656
