lang	diff_entropy	cond_entropy	mutual_info	diff_entropy_std	cond_entropy_std	mutual_info_std
de	8.723717547885105	7.427120801497257	1.2965967463878492	0.013248191936094682	0.0402334278884711	0.041683330916423775
en	8.127004941257905	7.0246288813347775	1.1023760599231267	0.011477019497028057	0.030900589353389563	0.03672681843319503
fr	7.9582229438277805	6.812454236586733	1.145768707241048	0.03363488673356871	0.07572738927449878	0.07364849453933726
it	7.821090771737912	6.857225545245486	0.9638652264924262	0.019238124331615803	0.0277560287741236	0.03345255411186329
ja	7.995191033650895	6.863529539526479	1.1316614941244159	0.015011008509804559	0.035430754645183506	0.036977926958195906
kor	8.52939710893072	7.609344945540822	0.9200521633898996	0.10684311677290671	0.2652487226219858	0.32204260963170595
sr	7.708791685002403	6.916139507692418	0.7926521773099868	0.032550425866713514	0.03500914217232294	0.05768614528518771
sv	8.606472573011875	7.440713516894578	1.1657590561172964	0.01025768910766141	0.01702415434771521	0.02289584692128202
th	8.853352370607693	7.34458566345686	1.5087667071508335	0.011613335216634518	0.04800103302606701	0.04997353179591216
vi	9.492115327843743	8.06363832954429	1.4284769982994552	0.013238555161311984	0.0484289531579605	0.04650035301563894
zh	9.130261207674753	7.80155765374929	1.3287035539254624	0.01798886968247135	0.04882996356882712	0.05887341669991253
yue	8.506608386050846	7.472982042853284	1.0336263431975636	0.017788968593896854	0.04180303061712189	0.03859166028665911
zh-by-char	9.228800116685772	7.6753045627297	1.5534955539560698	0.0063548490442293165	0.026731961649913403	0.028200004705150897
yue-by-char	8.638400268297811	7.1958896443176155	1.442510623980196	0.010263152380530367	0.027458707200041472	0.023859522875452847
