lang	diff_entropy	cond_entropy	mutual_info	diff_entropy_std	cond_entropy_std	mutual_info_std
de	8.624653135608531	7.379149443030704	1.245503692577826	0.017684282280473834	0.04907914939075932	0.04929016085851693
en	8.039651478392646	6.9543070820806125	1.0853443963120324	0.010362464240822407	0.045734404290631546	0.04279379112099605
fr	7.8487177946546165	6.814670085318234	1.0340477093363822	0.020660263870950078	0.049138412491706675	0.05898417708750402
it	7.710185922533744	6.821835846608039	0.8883500759257039	0.023063867459389525	0.05007087543153091	0.05557125773546037
ja	7.99934447657578	6.859803976641804	1.1395404999339749	0.014104558262958922	0.04257311459480908	0.04152752373479552
kor	8.47232349116882	7.2288504084556795	1.24347308271314	0.19042333347094476	0.49579840340933323	0.5028694450364235
sr	7.702178028535551	6.911304064574506	0.7908739639610454	0.04052191828192972	0.033374404999981774	0.06223717171193926
sv	8.547791318217277	7.442749441665567	1.1050418765517076	0.02004482337081444	0.028192214043663316	0.026522996810475506
th	8.8261429403171	7.340689219853386	1.4854537204637124	0.012783369893585849	0.050409799100088304	0.04640439355625082
vi	9.525567696131525	8.089393091286869	1.4361746048446544	0.01754238497509557	0.03009443563467164	0.037219917860084606
zh	9.076092623935896	7.800655903874905	1.2754367200609944	0.01469433989490482	0.054667584821580996	0.05728841037278391
yue	8.502145334302398	7.485620447399192	1.0165248869032062	0.02340151859973098	0.05385936335292473	0.05606174543286531
zh-by-char	9.203596096158034	7.692736437483973	1.5108596586740615	0.009091012606474557	0.024138719121984092	0.021460163652762775
yue-by-char	8.612091353601896	7.23374421277934	1.3783471408225554	0.01428077847345267	0.033336688093280234	0.03643682167975145
