lang	diff_entropy	cond_entropy	mutual_info	diff_entropy_std	cond_entropy_std	mutual_info_std
de	8.838802654269198	7.44990630546671	1.3888963488024872	0.013398604138439086	0.03196042258794953	0.026585815331746056
en	8.316506471279052	7.058609692197912	1.2578967790811408	0.01394447495130241	0.03115905856535908	0.033134075977274094
fr	8.140524595295691	6.916296139572944	1.224228455722748	0.013361859927935699	0.04229743292401982	0.03886547162561477
it	8.04072216598423	7.022203042756739	1.0185191232274882	0.022180208094320975	0.03914712761208727	0.05577104691162497
ja	8.09928703749848	6.896859541495999	1.202427496002481	0.010976952719877675	0.020901788613016885	0.020254798875950428
kor	9.017013417533416	7.518486639556903	1.4985267779765123	0.08255696595776459	0.1485886818447813	0.12282647290014319
sr	7.674452841803399	6.91406899799685	0.7603838438065488	0.030813865713832548	0.047200619897543775	0.061270056331363114
sv	8.717352395354881	7.460771624785788	1.256580770569094	0.016666435370646722	0.04724170625851587	0.046879470742009356
th	8.89600885501871	7.308994911680247	1.587013943338462	0.01698298046853685	0.031154147443491605	0.04304137572467728
vi	9.524347998771121	8.034515831749488	1.4898321670216317	0.010693222734957396	0.02748411997847489	0.02686789007283516
zh	9.296625012817822	7.813778624356408	1.482846388461414	0.011653924381289888	0.03769732496942026	0.04248347504858979
yue	8.498781583896148	7.383450080969736	1.115331502926413	0.019067175010723414	0.046953602693291234	0.04730981038516818
zh-by-char	9.249379752668426	7.643145039150267	1.6062347135181596	0.005064392062400103	0.028046839660742295	0.028214347161786148
yue-by-char	8.649487137474528	7.169640946379795	1.4798461910947343	0.013683357078288518	0.032191138323598954	0.037570631615901864
