lang	diff_entropy	cond_entropy	mutual_info	diff_entropy_std	cond_entropy_std	mutual_info_std
de	8.465966740950773	7.343923541419761	1.1220431995310145	0.012199653563254408	0.025172100442929984	0.03050339691385442
en	7.773467284589957	6.845267058190991	0.9282002263989652	0.013087384993852196	0.0661261563830808	0.0600424693723466
fr	7.68462930734953	6.716320732320736	0.9683085750287941	0.013509834458341839	0.0801975396185768	0.08053742452281637
it	7.3806630253910495	6.62274500680055	0.7579180185905001	0.02366001432228281	0.059247700439283006	0.04686948317619237
ja	7.719709702525594	6.785007760548749	0.9347019419768451	0.015203530663901248	0.032813666070812056	0.034937326068985995
sr	7.694764296006082	6.935975053993282	0.7587892420128005	0.04041517290103368	0.05896401576540212	0.056071582434225144
sv	8.272132234285861	7.353414908751337	0.9187173255345253	0.015959592963485814	0.06127023866864663	0.06460316782890611
th	8.697979056363462	7.358428478765594	1.339550577597868	0.007854190246500626	0.05261649173369962	0.04927947937076994
vi	9.370260810553756	8.097287657335574	1.272973153218183	0.022834125142661775	0.032575521368583785	0.03270248144810451
zh	8.777296436802931	7.7392068409055526	1.0380895958973784	0.021321478234563807	0.05626615937550404	0.06711501284485262
yue	8.446920008119918	7.581334299514458	0.8655857086054596	0.02553143417735242	0.058453162096218196	0.05820320650795981
zh-by-char	9.112294346645703	7.712473922762742	1.3998204238829628	0.010268339478592925	0.05063182026966391	0.0510582173631306
yue-by-char	8.527020900622137	7.255854941822065	1.2711659588000732	0.012086576258760955	0.03919800706975827	0.04412049109548749
