model,language,type,entropy,ent_value,ent_sd,MI,MI_sd
without_LLM_1,De,Stress-accent languages,Differential Entropy,8.624653135608530,0.017684282280473800,1.245503692577830,0.04929016085851690
without_LLM_1,En,Stress-accent languages,Differential Entropy,8.039651478392650,0.010362464240822400,1.0853443963120300,0.04279379112099610
without_LLM_1,Fr,Stress-accent languages,Differential Entropy,7.8487177946546200,0.020660263870950100,1.0340477093363800,0.05898417708750400
without_LLM_1,It,Stress-accent languages,Differential Entropy,7.710185922533740,0.023063867459389500,0.8883500759257040,0.05557125773546040
without_LLM_1,Ja,Pitch-accent languages,Differential Entropy,7.99934447657578,0.014104558262958900,1.1395404999339700,0.04152752373479550
without_LLM_1,Sr,Pitch-accent languages,Differential Entropy,7.702178028535550,0.04052191828192970,0.7908739639610450,0.06223717171193930
without_LLM_1,Sv,Pitch-accent languages,Differential Entropy,8.547791318217280,0.02004482337081440,1.1050418765517100,0.026522996810475500
without_LLM_1,Th,Tonal-accent languages,Differential Entropy,8.8261429403171,0.012783369893585800,1.4854537204637100,0.04640439355625080
without_LLM_1,Vi,Tonal-accent languages,Differential Entropy,9.525567696131530,0.01754238497509560,1.4361746048446500,0.037219917860084600
without_LLM_1,Zh-CN,Tonal-accent languages,Differential Entropy,9.076092623935900,0.01469433989490480,1.2754367200609900,0.05728841037278390
without_LLM_1,Yue,Tonal-accent languages,Differential Entropy,8.502145334302400,0.02340151859973100,1.0165248869032100,0.05606174543286530
without_LLM_1,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.203596096158030,0.009091012606474560,1.5108596586740600,0.021460163652762800
without_LLM_1,Yue-by-Char,Tonal-accent languages,Differential Entropy,8.612091353601900,0.01428077847345270,1.3783471408225600,0.03643682167975150
without_LLM_1,Kor,Other languages,Differential Entropy,8.47232349116882,0.19042333347094500,1.24347308271314,0.5028694450364240
without_LLM_1,De,Stress-accent languages,Conditional Entropy,7.379149443030700,0.04907914939075930,1.245503692577830,0.04929016085851690
without_LLM_1,En,Stress-accent languages,Conditional Entropy,6.9543070820806100,0.045734404290631500,1.0853443963120300,0.04279379112099610
without_LLM_1,Fr,Stress-accent languages,Conditional Entropy,6.814670085318230,0.049138412491706700,1.0340477093363800,0.05898417708750400
without_LLM_1,It,Stress-accent languages,Conditional Entropy,6.821835846608040,0.05007087543153090,0.8883500759257040,0.05557125773546040
without_LLM_1,Ja,Pitch-accent languages,Conditional Entropy,6.859803976641800,0.04257311459480910,1.1395404999339700,0.04152752373479550
without_LLM_1,Sr,Pitch-accent languages,Conditional Entropy,6.911304064574510,0.033374404999981800,0.7908739639610450,0.06223717171193930
without_LLM_1,Sv,Pitch-accent languages,Conditional Entropy,7.442749441665570,0.028192214043663300,1.1050418765517100,0.026522996810475500
without_LLM_1,Th,Tonal-accent languages,Conditional Entropy,7.340689219853390,0.050409799100088300,1.4854537204637100,0.04640439355625080
without_LLM_1,Vi,Tonal-accent languages,Conditional Entropy,8.089393091286870,0.03009443563467160,1.4361746048446500,0.037219917860084600
without_LLM_1,Zh-CN,Tonal-accent languages,Conditional Entropy,7.800655903874910,0.054667584821581000,1.2754367200609900,0.05728841037278390
without_LLM_1,Yue,Tonal-accent languages,Conditional Entropy,7.485620447399190,0.05385936335292470,1.0165248869032100,0.05606174543286530
without_LLM_1,Zh-by-Char,Tonal-accent languages,Conditional Entropy,7.692736437483970,0.024138719121984100,1.5108596586740600,0.021460163652762800
without_LLM_1,Yue-by-Char,Tonal-accent languages,Conditional Entropy,7.23374421277934,0.033336688093280200,1.3783471408225600,0.03643682167975150
without_LLM_1,Kor,Other languages,Conditional Entropy,7.2288504084556800,0.49579840340933300,1.24347308271314,0.5028694450364240
without_LLM_2,De,Stress-accent languages,Differential Entropy,8.916738210026390,0.02008682475371340,0.7824936554513050,0.03351911299311950
without_LLM_2,En,Stress-accent languages,Differential Entropy,8.466620914042860,0.013108767345199300,0.7669159149329010,0.02653799779263690
without_LLM_2,Fr,Stress-accent languages,Differential Entropy,8.314449681308810,0.01672117881481830,0.7752165322254330,0.0489337191963735
without_LLM_2,It,Stress-accent languages,Differential Entropy,8.182518566521400,0.014180149885445000,0.5627131620633140,0.026799618988768200
without_LLM_2,Ja,Pitch-accent languages,Differential Entropy,8.415778903558130,0.015262725101273000,0.9087081537919280,0.015284547595504800
without_LLM_2,Sr,Pitch-accent languages,Differential Entropy,7.816393365585060,0.027721036309268900,0.1559485659857580,0.02872969024270840
without_LLM_2,Sv,Pitch-accent languages,Differential Entropy,8.890218991521670,0.01839795133501390,0.8608112762465070,0.022031486861799800
without_LLM_2,Th,Tonal-accent languages,Differential Entropy,9.004956424369830,0.0108024098798625,1.174794145257300,0.015879999596832800
without_LLM_2,Vi,Tonal-accent languages,Differential Entropy,9.64729949599518,0.01820326107940090,1.2601296218724400,0.02624379857849160
without_LLM_2,Zh-CN,Tonal-accent languages,Differential Entropy,9.40636873088038,0.02574305016380860,1.3704954884393000,0.04506310720452330
without_LLM_2,Yue,Tonal-accent languages,Differential Entropy,8.665707924266660,0.024709258648277000,0.7475999001234940,0.022181602399967700
without_LLM_2,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.264438864282740,0.006965949848140050,1.3028428337160000,0.008578923118333150
without_LLM_2,Yue-by-Char,Tonal-accent languages,Differential Entropy,8.72342904025335,0.013804196560818500,1.0759405207280600,0.017520253091397300
without_LLM_2,Kor,Other languages,Differential Entropy,NA,NA,NA,NA
